Unnamed: 0,StartDate,EndDate,Progress,Duration (in seconds),RecordedDate,ResponseId,polarization_1,polarization_2,polarization_3,polarization_4,polarization_5,polarization_6,polarization_7,polarization_8,polarization_9,polarization_10,polarization_11,polarization_12,polarization_13,polarization_14,polarization_15,polarization_16,polarization_17,polarization_18,polarization_19,polarization_20,polarization_21,polarization_22,polarization_23,polarization_24,polarization_25,polarization_26,polarization_27,polarization_28,polarization_29,polarization_30,polarization_31,polarization_32,polarization_33,polarization_34,polarization_35,polarization_36,polarization_37,polarization_38,polarization_39,polarization_40,polarization_DO,Personal_1,Personal_2,Personal_3,Personal_4_1,Personal_4_2,Personal_4_3,Personal_4_4,Personal_4_5,Personal_4_6,Personal_4_7,Personal_4_8,Personal_4_9,Personal_4_10,Personal_4_11,Personal_4_12,Personal_4_13,Personal_4_14,Personal_4_15,Personal_4_16,Personal_4_17,Personal_4_18,Personal_4_19,Personal_4_20,Personal_4_21,Personal_4_22,Personal_4_23,Personal_4_24,Personal_4_25,Personal_4_26,Personal_4_27,Personal_4_28,Personal_4_29,Personal_4_30,Personal_4_31,Personal_4_32,Personal_4_33,Personal_4_34,Personal_4_35,Personal_4_36,Personal_4_37,Personal_4_38,Personal_4_39,Personal_4_40,Personal_4_DO,Personal_5,Personal_6,Personal_7,Personal_8
10,2022-10-11 16:32:13,2022-10-11 16:33:53,100,99,2022-10-11 16:33:53,R_YWG7IIlCvcd8U7v,,,,3,,,3,,,5,,2,,,,,,,,,,4,,,,,,5,,5,,,,,,3,2,,,4,40|12|30|7|22|4|36|37|28|10,20,1,3,,,,5,,,4,,,2,,3,,,,,,,,,,2,,,,,,3,,1,,,,,,4,3,,,2,40|12|30|7|22|4|36|37|28|10,3,"2,3,4,8,9",3,5
11,2022-10-11 16:32:20,2022-10-11 16:34:10,100,109,2022-10-11 16:34:10,R_3kHsbzJyAcSgfOA,,,,3,,5,,,,,,,,,,,,2,5,,5,,,,,,,,4,5,,,5,,5,,,5,,,18|19|35|29|21|30|4|6|38|33,21,2,2,,,,3,,5,,,,,,,,,,,,1,5,,4,,,,,,,,4,4,,,5,,4,,,5,,,18|19|35|29|21|30|4|6|38|33,3,"1,2,4",4,"1,4,5"
12,2022-10-11 16:32:32,2022-10-11 16:34:18,100,106,2022-10-11 16:34:18,R_2y3jqnpIootSsDc,,,,,,,,,,5,5,2,,,,,,3,,,,,,5,,2,,5,,,,,5,,4,,,,,2,18|10|11|24|35|12|40|26|28|33,20,1,2,,,,,,,,,,3,3,2,,,,,,2,,,,,,4,,2,,4,,,,,4,,4,,,,,2,18|10|11|24|35|12|40|26|28|33,3,"4,8,9",4,5
13,2022-10-11 16:32:27,2022-10-11 16:34:36,100,129,2022-10-11 16:34:36,R_2Yy0yG4SZIeqYnU,,1,5,,,,,,4,5,5,3,,,,,1,,,,,,,,,,,,,,,5,,,,,5,,,3,9|2|40|3|17|12|37|32|10|11,20,1,3,,1,1,,,,,,1,1,1,1,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,1,9|2|40|3|17|12|37|32|10|11,1,"4,10",1,5
14,2022-10-11 16:32:44,2022-10-11 16:34:41,100,116,2022-10-11 16:34:41,R_R51Z4WtE9eQWrBL,,,,,5,,,2,,,,,4,,,,1,2,,,,,,,3,,,,,5,,,,2,,4,4,,,,8|30|25|5|18|34|37|36|13|17,20,2,2,,,,,3,,,1,,,,,2,,,,1,2,,,,,,,1,,,,,3,,,,1,,2,1,,,,8|30|25|5|18|34|37|36|13|17,2,"1,2,4,5,9",2,6
15,2022-10-11 16:32:18,2022-10-11 16:34:50,100,152,2022-10-11 16:34:51,R_3RqDhenFkktJe2I,,,,,,5,,,,5,4,,,,,,,2,,4,,5,,,4,,3,,,,,,,,,4,,2,,,22|18|10|27|36|11|38|20|25|6,20,1,3,,,,,,1,,,,1,1,,,,,,,1,,1,,1,,,1,,1,,,,,,,,,1,,1,,,22|18|10|27|36|11|38|20|25|6,3,"1,2,6",1,5
16,2022-10-11 16:32:18,2022-10-11 16:35:09,100,170,2022-10-11 16:35:09,R_2D6My7EiS6ViOeG,,3,,3,,,,,2,,5,,,,,,,2,,,,5,,,,,,,3,3,,,,,3,,,5,,,18|30|35|11|29|38|2|22|4|9,21,2,2,,2,,3,,,,,2,,5,,,,,,,2,,,,4,,,,,,,4,2,,,,,4,,,5,,,18|30|35|11|29|38|2|22|4|9,3,"1,2,4,8,9",4,"4,5"
17,2022-10-11 16:32:42,2022-10-11 16:35:26,100,163,2022-10-11 16:35:26,R_2YsvNKih1qWLGvr,,2,,,,,,,,,5,,5,,,5,1,3,,,,,,,,,,,2,,,5,,,,,5,,3,,29|11|2|18|37|39|13|16|32|17,20,2,3,,1,,,,,,,,,3,,2,,,3,4,4,,,,,,,,,,,3,,,3,,,,,1,,1,,29|11|2|18|37|39|13|16|32|17,4,"1,4",2,6
18,2022-10-11 16:33:07,2022-10-11 16:35:32,100,144,2022-10-11 16:35:32,R_zUnw1OMtI7gKpJ7,,3,,,,,,3,,,,4,,,,,,4,,5,3,,,5,,,,,,5,,,,,,5,,,,5,40|12|2|18|21|36|8|24|30|20,19,2,2,,3,,,,,,5,,,,5,,,,,,3,,5,1,,,5,,,,,,3,,,,,,5,,,,5,40|12|2|18|21|36|8|24|30|20,3,"2,7,8",4,5
19,2022-10-11 16:33:24,2022-10-11 16:36:01,100,157,2022-10-11 16:36:01,R_Weq3iVtEjEbmRsB,,1,,,,,2,,3,,,,,,,,,1,3,,3,,,,,2,,,2,,,,,,,,4,3,,,21|26|7|29|19|18|37|2|38|9,21,2,2,,1,,,,,3,,2,,,,,,,,,3,3,,1,,,,,3,,,3,,,,,,,,3,3,,,21|26|7|29|19|18|37|2|38|9,3,"1,4,10",4,5
20,2022-10-11 16:33:25,2022-10-11 16:36:02,100,157,2022-10-11 16:36:03,R_2roqfA61NvuT9Wo,,,,,,4,,2,,,,,2,3,,,,2,,,,,,,,,,,2,,4,,,,,4,,4,,2,6|38|29|31|36|14|13|40|8|18,19,2,2,,,,,,2,,4,,,,,4,1,,,,3,,,,,,,,,,,1,,1,,,,,3,,4,,3,6|38|29|31|36|14|13|40|8|18,4,"1,2,4,9",4,5
21,2022-10-11 16:33:42,2022-10-11 16:36:41,100,178,2022-10-11 16:36:41,R_12scSFFRjQe075b,,1,,,,,,3,,5,,,,,,,,,,5,4,5,,,,,,2,1,4,,5,,,,,,,,,29|21|30|28|20|2|32|8|10|22,29,1,3,,2,,,,,,3,,1,,,,,,,,,,1,1,2,,,,,,4,4,4,,1,,,,,,,,,29|21|30|28|20|2|32|8|10|22,1,"1,4,6",3,"4,5"
22,2022-10-11 16:32:44,2022-10-11 16:37:01,100,257,2022-10-11 16:37:02,R_1hytX1A1W2y9low,,,5,3,5,,5,,,,,,,3,,5,3,3,,,,,,,,,,,,,,,,,3,5,,,,,18|14|35|16|5|17|7|3|36|4,21,2,2,,,5,5,5,,5,,,,,,,1,,5,5,1,,,,,,,,,,,,,,,,,4,5,,,,,18|14|35|16|5|17|7|3|36|4,3,"1,2,4,5,8",4,"4,5"
23,2022-10-11 16:33:12,2022-10-11 16:37:04,100,232,2022-10-11 16:37:04,R_2By3WM0fI0qYELD,,,,,,5,3,,,4,,3,,,,,,,,,,,3,,,,,4,,,,3,,,,3,,,3,4,7|40|28|36|6|32|10|23|39|12,21,2,2,,,,,,4,4,,,4,,3,,,,,,,,,,,3,,,,,3,,,,4,,,,3,,,3,3,7|40|28|36|6|32|10|23|39|12,3,"2,7,8",4,5
24,2022-10-11 16:35:20,2022-10-11 16:37:06,100,105,2022-10-11 16:37:07,R_2RQUa2HruCRYuOc,4,2,,1,5,,,2,,5,,,,,,,2,,,,,,,4,,,5,,,,,,5,,,,,,,,5|33|1|2|10|8|4|24|17|27,20,2,3,4,2,,1,1,,,2,,4,,,,,,,2,,,,,,,3,,,4,,,,,,1,,,,,,,,5|33|1|2|10|8|4|24|17|27,4,"1,6,8",4,"1,5"
25,2022-10-11 16:36:33,2022-10-11 16:39:47,100,194,2022-10-11 16:39:48,R_3kv9Yn4amVWGcm3,,,,,,,,2,,4,,,,,,,,2,,,3,,4,,,3,,,,,,,5,2,3,,,,1,,35|39|21|34|33|26|8|23|18|10,19,1,3,,,,,,,,3,,1,,,,,,,,3,,,1,,1,,,1,,,,,,,1,1,1,,,,1,,35|39|21|34|33|26|8|23|18|10,3,"1,4,10",2,"4,5"
26,2022-10-12 16:46:23,2022-10-12 16:48:18,100,114,2022-10-12 16:48:18,R_NVzJVP39pycAjNT,,,2,,4,5,,,,,2,,2,,,,,,1,,,,3,,,,,4,,,5,,,2,,,,,,,5|28|6|13|19|11|3|31|34|23,21,2,3,,,1,,1,1,,,,,3,,1,,,,,,1,,,,1,,,,,3,,,1,,,1,,,,,,,5|28|6|13|19|11|3|31|34|23,2,"1,4,8",1,6
